U_a / V,I_b / A,r / mm
300,1.83,40
291,1.80,40
280,1.80,40
270,1.77,40
260,1.75,40
250,1.71,40
240,1.67,40
231,1.63,40
219,1.62,40
210,1.56,40
200,1.50,40
190,1.49,40
180,1.46,40
170,1.41,40
159,1.38,40
150,1.36,40
