U_a / V,I_b / A,r / mm
300,1.98,37.5
290,1.97,37.5
281,1.92,37.5
270,1.91,37.5
261,1.85,37.5
250,1.84,37.5
242,1.82,37.5
230,1.72,37.5
221,1.71,37.5
210,1.61,37.5
201,1.62,37.5
189,1.60,37.5
180,1.55,37.5
170,1.45,37.5
160,1.44,37.5
150,1.39,37.5
